name,url,address,airport,distance,unit,rating,restname,mon,tue,wed,thur,fri,sat,sun
"The Hoxton, Paris",https://www.tripadvisor.com/Hotel_Review-g187147-d12537470-Reviews-The_Hoxton_Paris-Paris_Ile_de_France.html,"30-32 Rue du Sentier, 75002 Paris France",Paris - Orly Airport,10.0,mi,3.5,"Rivie, The Hoxton Paris",Monday 07:00 - 24:00,Tuesday 07:00 - 24:00,Wednesday 07:00 - 24:00,Thursday 07:00 - 01:00,Friday 07:00 - 01:00,Saturday 07:00 - 01:00,Sunday 07:00 - 24:00
Hotel Terminus Lyon,https://www.tripadvisor.com/Hotel_Review-g187147-d282205-Reviews-Hotel_Terminus_Lyon-Paris_Ile_de_France.html,"19 boulevard Diderot, 75012 Paris France",Paris - Orly Airport,8.0,mi,3.0,Fosca,Monday 11:30AM-10:45PM,Tuesday 11:30AM-10:45PM,Wednesday 11:30AM-10:45PM,Thursday 11:30AM-10:45PM,Friday 11:30AM-10:45PM,Saturday 11:30AM-10:45PM,Sunday 11:30AM-10:45PM
Hilton Paris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d207718-Reviews-Hilton_Paris_Opera-Paris_Ile_de_France.html,"108 Rue Saint-Lazare, 75008 Paris France",Paris - Orly Airport,10.0,mi,4.0,Le Grand Salon,Monday 7:30AM-1AM,Tuesday 7:30AM-1AM,Wednesday 7:30AM-1AM,Thursday 7:30AM-1AM,Friday 7:30AM-1AM,Saturday 10:30AM-1AM,Sunday 10:30AM-11PM
Canopy By Hilton Paris Trocadero,https://www.tripadvisor.com/Hotel_Review-g187147-d21281646-Reviews-Canopy_By_Hilton_Paris_Trocadero-Paris_Ile_de_France.html,"16 Avenue d Eylau, 75116 Paris France",Paris - Orly Airport,10.0,mi,4.0,L'Esprit Nouveau,Monday 7AM-10:30AM,Tuesday 7AM-10:30AM,Wednesday 7AM-10:30AM,Thursday 7AM-10:30AM,Friday 7AM-10:30AM,Saturday 7AM-10:30AM,Sunday 7AM-10:30AM
Hotel Westminster,https://www.tripadvisor.com/Hotel_Review-g187147-d197477-Reviews-Hotel_Westminster-Paris_Ile_de_France.html,"13 Rue de la Paix, 75002 Paris France",Paris - Orly Airport,10.0,mi,4.0,Duke’s Bar & Restaurant  – Hôtel Westminster Paris,Monday 07:00 - 23:00,Tuesday 07:00 - 23:30,Wednesday 07:00 - 23:00,Thursday 07:00 - 23:00,Friday 07:00 - 23:00,Saturday 07:00 - 24:00,Sunday 07:00 - 24:00
Courtyard by Marriott Paris Gare de Lyon,https://www.tripadvisor.com/Hotel_Review-g187147-d15243992-Reviews-Courtyard_by_Marriott_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,"209 rue de Bercy, 75012 Paris France",Paris - Orly Airport,8.0,mi,4.0,Kitchen & Bar,Monday 12PM-10:30PM,Tuesday 12PM-10:30PM,Wednesday 12PM-10:30PM,Thursday 12PM-10:30PM,Friday 12PM-10:30PM,Saturday 12PM-10:30PM,Sunday 12PM-10:30PM
Paris j'Adore Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187147-d17764705-Reviews-Paris_j_Adore_Hotel_Spa-Paris_Ile_de_France.html,"7 rue Beudant, 75017 Paris France",Paris - Orly Airport,11.0,mi,5.0,Le Restaurant j'Adore ! ,"Monday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30","Tuesday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30","Wednesday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30","Thursday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30","Friday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30","Saturday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30","Sunday 08:00 - 11:00, 12:00 - 14:30, 19:00 - 21:30"
Hyatt Paris Madeleine,https://www.tripadvisor.com/Hotel_Review-g187147-d188743-Reviews-Hyatt_Paris_Madeleine-Paris_Ile_de_France.html,"24 boulevard Malesherbes, 75008 Paris France",Paris - Orly Airport,10.0,mi,5.0,Café M,"Monday 07:00 - 10:45, 12:00 - 22:15","Tuesday 07:00 - 10:45, 12:00 - 22:15","Wednesday 07:00 - 10:45, 12:00 - 22:15","Thursday 07:00 - 10:45, 12:00 - 22:15","Friday 07:00 - 10:45, 12:00 - 22:15","Saturday 07:00 - 10:45, 12:00 - 22:15","Sunday 07:00 - 10:45, 12:00 - 22:15"
Mama Shelter Paris East,https://www.tripadvisor.com/Hotel_Review-g187147-d1149494-Reviews-Mama_Shelter_Paris_East-Paris_Ile_de_France.html,"109 rue de Bagnolet, 75020 Paris France",Paris - Orly Airport,9.0,mi,2.0,Mama Restaurant Paris East,"Monday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Tuesday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Wednesday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Thursday 07:00 - 11:00, 12:00 - 15:00","Friday 07:00 - 11:00, 12:00 - 15:00","Saturday 07:00 - 11:00, 12:00 - 15:00","Sunday 07:00 - 11:00, 12:00 - 16:00, 19:00 - 00:00"
1K Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d472236-Reviews-1K_Paris-Paris_Ile_de_France.html,"13 boulevard du Temple, 75003 Paris France",Paris - Orly Airport,9.0,mi,4.0,INKA restaurant,Monday 12PM-2PM7PM-10:30PM,Tuesday 12PM-2PM7PM-10:30PM,Wednesday 12PM-2PM7PM-10:30PM,Thursday 12PM-2PM7PM-10:30PM,Friday 12PM-2PM7PM-10:30PM,Saturday 7PM-10:30PM,Sunday 12PM-2:30PM
